Date,Entrée,Plat,Légumes,Laitage,Dessert,Gouter,Température,Humidité,Vitesse du vent moyen 10 mn,Attente moyenne
2024-11-15,"Salade d'hiver (carotte, céleri, pomme, raisin sec, citron)",Gratin de pâtes au brocoli,,,Compote pomme-banane,Cake aux pépites de chocolats / clémentines,9.60000000000002,87,5.5,3.96398838492981
2024-11-16,Surimi sauce cocktail / mâche,Ballotin de poulet aux marrons OU Nuggets de blé*,Pommes noisette,,Barre glacé,Goûter de réserve,12.2,85,4.7,0.0
2024-11-17,Salade de pommes de terre persillées,Sauté de porc charcutier,Petits pois,Edam,Orange,Pain/ beurre/ barre chocolatée/ lait,8.20000000000005,80,11.3,7.92822436068129
2024-11-18,Salade carodis (radis noir),Rôti de bœuf  OU Aiguillette de blé*,Tortis,Yaourt à la vanille,,Pain spécial / fruit / lait,17.1,86,4.5,14.4548608490511
2024-11-19,"Salade fromagère (salade verte, gruyère râpé)",Blanquette de veau à l'ancienne,Riz pilaf,,Compote de pommes,Pain/ beurre/ kiwi/ lait,5.30000000000001,71,2.4,0.0
2024-11-20,Melon,Rôti de bœuf au jus,Purée de pommes de terre,Camembert,Banane,Cake aux pépites de chocolat/ lait,16.9,82,2.1,0.0
2024-11-21,"1/2 œuf dur, salade verte",Couscous de légumes,,Yaourt nature,,"Pain / beurre
Compote
Lait",14.0,59,3.6,0.0
2024-11-22,Concombre tzatziki,Sauté veau marengo,Haricots verts,Fromage,Dés d'ananas,Pain/ beurre/ banane équitable/ lait,16.7,73,3.1,0.0
2024-11-23,,,,,,,10.4,55,5.6,0.0
2024-11-24,Salade de thon/ pommes de terre,Jambon braisé OU rôti de dinde sauce champignons,Brocolis,Fromage,Fruit de saison,Pain/ banane/ lait,11.7,93,4.7,0.0
2024-11-25,Choux-fleurs vinaigrette,Galette/ saucisse OU saucisse de volaille,Salade,Fromage,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,15.3,79,4.6,16.547051735709
2024-11-26,Pamplemousse,Tajine d'agneau,Et ses légumes,Semoule au lait/ sauce au chocolat,,Pain/ beurre/ banane équitable/ lait,12.2,27,8.6,0.0
2024-11-27,Carottes au dés de feta,Gratin de boulgour,Salade verte,,Compote tous fruits,Pain/ beurre/ barre chocolatée/ lait,4.10000000000002,73,4.5,0.0
2024-11-28,Rillettes / cornichons OU macédoine,Filet de lieu sauce normande,Carottes vichy panaché,Fromage,Banane équitable,Pain / beurre/ barre chocolatée/ lait,11.8,77,7.0,14.537856390866
2024-11-29,"Tortillas, guacamole",Chili con carné,Riz,,Barre glacée,Pain / beurre / abricot / lait,24.1,45,3.5,3.1209169889883
2024-11-30,Tomates et féta,Rôti de bœuf OU Omelette*,Semoule,,Chou à la crème,"Pain / beurre
Banane équitable
Lait",20.6,68,2.1,0.0
2024-12-01,Radis,Rôti de bœuf au jus,Purée de pommes de terre,Crème chocolat,,Päin/ beurre/ orange/ lait,15.6,79,4.7,0.0
2024-12-02,Betteraves et dés de feta,Rôti de porc OU Rôti de dinde OU Galette de soja à la tomate*,Frites,,Fruit de saison,"Madeleine
Compote pomme-banane",12.8,85,5.0,0.0
2024-12-03,"Surimi, sauce cocktail et sa mâche",Sauté de chapon et sa sauce,Pommes pins,Fromage,Dessert glacé,Pain au lait/ jus de fruits,9.5,71,7.6,0.0
2024-12-04,Taboulé,Rôti de porc,Epinards béchamel,Saint Nectaire,Brugnon,Barre bretonne/ prunes/ lait,20.8,60,2.0,0.0
2024-12-05,Carottes au citron,Saucisse grillée de porc ou de volaille,Lentilles,Yaourt aux fruits des bois,,Pain/ beurre/ barre chocolatée/ lait,11.2,83,2.8,5.52097519314803
2024-12-06,Potage poireaux / pommes de terre,Timbale milanaise,,Edam,Orange,Madeleine/ petits suisses,15.1,57,4.6,32.3160194238115
2024-12-07,Pâté de campagne/ salade OU betteraves,Filet de lieu sauce tomate,Pommes vapeur,Fromage,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,12.7,59,2.7,0.0
2024-12-08,Crème de courges/ carottes,Filet de lieu sauce crème,Épinards panachés,Camembert,Orange,Pain/ beurre/ corbeille de fruits/ lait ou fromage,7.80000000000001,72,6.4,0.0
2024-12-09,Melon,Eglefin,"Épinards à la crème, semoule",,Petit pot de glace,"Pain / beurre
Corbeille de fruits
Lait ou fromage",19.2,84,4.1,0.0
2024-12-10,Salade de pommmes de terre au thon,Rôti de veau au jus,Petit pois/ carottes,Fromage,Fruit de saison,Petits suisses/ mini quatre-quarts,9.30000000000001,66,5.1,24.8005662397963
2024-12-11,Taboulé,Rôti de porc,Epinards béchamel,Saint Nectaire,Brugnon,Barre bretonne/ prunes/ lait,20.8,60,2.0,0.0
2024-12-12,Céleri rémoulade,Couscous de légumes,,Yaourt nature,Figuettes,Pain / beurre / orange / lait,10.2,88,5.9,0.0
2024-12-13,Asperge sauce mousseline,Émincé de poulet sauce colombo OU Boulette de lentilles*,Haricots beurre,,Banane équitable,"Pain / beurre
crème au chocolat",9.80000000000001,42,7.2,12.154151069117
2024-12-14,Asperges vinaigrette échalote,Sauté de dinde louisianne,Purée de pommes de terre,Emmenthal,Nectarine,Yaourt/ cocktail de fruits,16.2,72,3.9,14.7905729192248
2024-12-15,Chou-fleur vinaigrette,Galette tomate fromage,Salade verte,,Fruit de saison,"Fourré au chocolat
Fromage blanc",9.90000000000003,86,3.6,8.07893423279795
2024-12-16,Blé aux légumes,Émincé de dinde label aux champignons,Haricots verts,Camembert,Clémentines,Pain/ beurre/ barre chocolatée/ lait,7.10000000000002,45,0.7,4.45833252316163
2024-12-17,"Salade bicolore ( chou rouge et blanc, pomme, raisin sec)",Escalope de poulet,Haricots verts,,Flan pâtissier,Madeleine/ chocolat chaud,12.0,73,1.4,8.35483683145256
2024-12-18,Choux fleurs vinaigrette,Gratin de boulghour,Salade verte,,Fruit de saison,Pain/ beurre/ compote de pommes,15.7,73,3.3,23.6741600688883
2024-12-19,Pamplemousse,Poisson pané,Printanière de légumes,Ile flottante,,Pain/ beurre/ barre chocolatée/ lait,1.30000000000001,41,8.0,0.0
2024-12-20,"Salade fantaisie (céleri, pomme, raisin sec)",Poisson pané beurre citron,Jardinière de légumes,Riz au lait,,Pain/ beurre/ poire/ lait,16.1,91,3.4,0.0
2024-12-21,Taboulé,Rôti de porc,Epinards béchamel,Saint Nectaire,Brugnon,Barre bretonne/ prunes/ lait,20.8,60,2.0,0.0
2024-12-22,Riz printanier,Rôti de veau sauce forestière OU Aiguillette de blé aux carottes*,Petits pois / carottes,Fromage,Banane équitable,"Pain / beurre
Corbeille de fruits
Lait ou fromage",11.5,49,4.4,0.0
2024-12-23,Pâté de campagne/ salade,Filet de lieu sauce crème,Brocolis panachés,Gouda,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,20.6,69,3.2,0.0
2024-12-24,Salade de lentilles,"Blanc de poulet, sauce barbecue",Courgettes au gratin frais,,Fruit de saison,Pain/ confiture/ lait,21.3,73,1.7,19.2948230047679
2024-12-25,Céleri rémoulade,Steak haché,Petits pois cuisinés,,Far nature,Pain/ beurre/ corbeille de fruits/ lait ou fromage,9.20000000000004,89,0.0,0.0
2024-12-26,Tomates mozzarella,Filet de lieu sauce beurre citron OU Galette de soja à la tomate*,Jardinière de légumes d'été,,Far aux pommes,"Pain / beurre
Corbeille de fruits
Lait ou fromage",15.0,99,2.7,0.0
2024-12-27,"Salade de haricots verts, fromage blanc",Rôti de porc OU Rôti de dinde OU Boulette de lentilles*,Purée de pommes de terre,Petits suisses nature,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",19.8,74,2.0,43.8122171666331
2024-12-28,"Salade fromagère (salade verte, dés de gruyère)",Rôti de bœuf,Haricots verts,,Galette des rois,Pain/ confiture/ lait,12.9,95,7.9,10.1979011762384
2024-12-29,Salade de blé au thon,Blanc de poulet sauce suprême,Jardinière de légumes,Fromage blanc,Fruit de saison,Mini quatre-quarts/ compote pomme/ cassis,15.5,79,5.8,0.0
2024-12-30,Carottes râpées,Dos de cabillaud,Brocolis,Semoule au lait,,Madeleine/ lait fraise,26.3,55,3.4,3.46537611349217
2024-12-31,Salade de tomates/ maïs,Hachis parmentier,Salade verte,Edam,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,16.9,73,3.7,0.0
